Rank,CO_NAME,Expenditure (Millions) ,Percent Change 2015/2016
1,MECKLENBURG,5163.74,0.025
2,WAKE,2171.14,0.048
3,GUILFORD,1349.31,0.041
4,DARE,1101.63,0.046
5,BUNCOMBE,1071.66,0.071
6,FORSYTH,846.67,0.046
7,DURHAM,776.29,0.068
8,NEW HANOVER,554.29,0.064
9,BRUNSWICK,544.35,0.07
10,CUMBERLAND,525.95,0.043
11,MOORE,469.41,0.062
12,CABARRUS,433.42,0.053
13,CARTERET,351.67,0.044
14,NASH,288.58,0.045
15,HENDERSON,275.02,0.066
16,CATAWBA,264.75,0.047
17,GASTON,251.89,0.043
18,WATAUGA,248.55,0.074
19,IREDELL,247.51,0.059
20,JOHNSTON,232.7,0.05
21,PITT,231.4,0.057
22,CURRITUCK,224.64,0.046
23,ONSLOW,222.24,0.028
24,SWAIN,202.54,0.048
25,ORANGE,192.84,0.045
26,JACKSON,188.45,0.071
27,ALAMANCE,179.95,0.047
28,HAYWOOD,178.79,0.067
29,RUTHERFORD,173.97,0.06
30,ROWAN,166.99,0.041
31,MACON,164.14,0.064
32,WAYNE,162.41,0.04
33,DAVIDSON,159.69,0.03
34,ROBESON,144.79,0.05
35,RANDOLPH,138.98,0.058
36,CRAVEN,136.99,0.049
37,UNION,133.4,0.059
38,SURRY,121.24,0.04
39,AVERY,119.45,0.051
40,WILSON,115.69,0.04
41,CLEVELAND,107.02,0.059
42,BURKE,98.56,0.049
43,TRANSYLVANIA,94.76,0.066
44,PENDER,92.31,0
45,HALIFAX,91.84,0.024
46,HARNETT,85.1,0.058
47,LENOIR,84.18,0.038
48,BEAUFORT,81.36,0.047
49,STANLY,79.42,0.042
50,LEE,75.3,0.051
51,WILKES,74.88,0.037
52,ROCKINGHAM,70.91,0.048
53,PASQUOTANK,62.37,0.049
54,EDGECOMBE,58.03,0.037
55,MCDOWELL,56.62,0.043
56,ASHE,54.96,0.065
57,LINCOLN,53.6,0.023
58,COLUMBUS,53.52,0.02
59,CALDWELL,52.57,0.028
60,SAMPSON,50.6,0.048
61,CHEROKEE,48.18,0.135
62,VANCE,48.14,0.043
63,RICHMOND,47.85,0.02
64,GRANVILLE,47.11,0.031
65,SCOTLAND,43.71,0.035
66,DUPLIN,39.96,0.02
67,BLADEN,38.7,0.019
68,MADISON,38.13,0.063
69,YADKIN,37.94,0.049
70,YANCEY,36.89,0.062
71,DAVIE,36.5,0.051
72,PERSON,36.38,0.027
73,HYDE,34.67,0.034
74,CHATHAM,33.81,0.042
75,MARTIN,31.44,0.038
76,MONTGOMERY,29.29,0.059
77,HERTFORD,28.46,0.026
78,POLK,28.37,0.06
79,GRAHAM,26.92,0.054
80,WARREN,25.44,0
81,STOKES,24.19,0.034
82,ALLEGHANY,23.83,0.06
83,FRANKLIN,23.54,0.04
84,MITCHELL,23.05,0.042
85,CHOWAN,21.29,0.063
86,ALEXANDER,19.9,0.057
87,PAMLICO,17.72,0.035
88,ANSON,16.64,0.01
89,WASHINGTON,15.02,0.023
90,NORTHAMPTON,14.45,0.059
91,CLAY,13.26,0.053
92,BERTIE,13.18,-0.001
93,HOKE,11.42,0.057
94,PERQUIMANS,10.41,0.062
95,CASWELL,8.92,0.054
96,GATES,6.23,0.003
97,GREENE,5.87,0.049
98,JONES,4.05,0.017
99,TYRRELL,3.63,0.015
100,CAMDEN,2.01,0.018
,STATE TOTALS,23021.47,0.045
