CO_NAME,Expenditure (Millions) ,Expenditure Percent Change 2016/2017
MECKLENBURG,5381.42,0.04
WAKE,2265.91,0.04
GUILFORD,1408.4,0.04
DARE,1142.19,0.07
BUNCOMBE,1131.94,0.03
FORSYTH,898.38,0.06
DURHAM,814.32,0.05
NEW HANOVER,578.22,0.04
BRUNSWICK,562.63,0.03
CUMBERLAND,542.31,0.03
MOORE,491.28,0.05
CABARRUS,446.84,0.03
CARTERET,362.4,0.03
NASH,294.64,0.07
HENDERSON,292.77,0.01
CATAWBA,277.27,0.05
GASTON,261.75,0.04
WATAUGA,256.88,0.04
IREDELL,253.72,0.02
JOHNSTON,246.72,0.07
PITT,239.09,0.03
CURRITUCK,230.86,0.03
ONSLOW,230.65,0.04
SWAIN,205.58,0.02
ORANGE,197.99,0.03
JACKSON,195.44,0.04
ALAMANCE,190.73,0.06
HAYWOOD,182.27,0.02
RUTHERFORD,181.25,0.04
ROWAN,174.79,0.05
MACON,170.12,0.04
WAYNE,169.32,0.04
DAVIDSON,167.39,0.05
ROBESON,152.81,0.06
RANDOLPH,146.23,0.05
CRAVEN,142.1,0.04
UNION,139.75,0.05
SURRY,125.59,0.05
AVERY,124.46,0.03
WILSON,119.6,0.03
CLEVELAND,110.11,0.03
BURKE,101.28,0.03
TRANSYLVANIA,99.85,0.05
PENDER,97.05,0.05
HALIFAX,96.95,0.06
HARNETT,89.7,0.05
LENOIR,88.85,0.06
BEAUFORT,86.55,0.06
STANLY,81.14,0.02
LEE,78.84,0.05
WILKES,78.08,0.04
ROCKINGHAM,71.6,0.01
PASQUOTANK,62.66,0
EDGECOMBE,60.03,0.03
MCDOWELL,58.83,0.04
ASHE,57.65,0.05
LINCOLN,56.6,0.06
COLUMBUS,56.2,0.05
CALDWELL,53.04,0.01
SAMPSON,52.21,0.03
CHEROKEE,50.07,0.04
VANCE,49.7,0.04
RICHMOND,49.51,0.05
GRANVILLE,49.23,0.02
SCOTLAND,45.02,0.03
DUPLIN,41.95,0.05
BLADEN,40.55,0.05
MADISON,39.54,0.04
YADKIN,39.08,0.03
YANCEY,38.64,0.05
DAVIE,37.94,0.04
PERSON,37.5,0.08
HYDE,36.38,0
CHATHAM,34.99,0.04
MARTIN,31.75,0.01
MONTGOMERY,30.73,0.08
HERTFORD,29.99,0.02
POLK,29.09,0.02
GRAHAM,28.14,0.05
WARREN,25.75,0.01
STOKES,25.42,0.05
ALLEGHANY,24.77,0.04
FRANKLIN,24.42,0.04
MITCHELL,24.1,0.05
CHOWAN,22.17,0.04
ALEXANDER,20.84,0.05
PAMLICO,18.72,0.06
ANSON,17.44,0.05
WASHINGTON,15.35,0.02
NORTHAMPTON,14.46,0
CLAY,13.96,0.06
BERTIE,13.33,0.01
HOKE,11.91,0.04
PERQUIMANS,10.86,0.04
CASWELL,9.16,0.03
GATES,6.47,0.04
GREENE,5.89,0
JONES,4.16,0.03
TYRRELL,3.67,0.01
CAMDEN,2.09,0.04
STATE TOTALS,23988.01,0.04
